A_Index;AnzahlZimmer;Ausbaustufe;Baeder;BaederUG;Baujahr;Bebauungsdichte;Besonderheiten;Dachtyp;EG_qm;Fassadenqual;Fassadenzustand;Garagen;Gesamteindruck;Grundstueck_qm;Kamine;KellerQual;Keller_qm;Kellerhoehe;Lage;ToilettenEG;ToilettenUG;Typ;Umgebaut;Verkaufsjahr;Verkaufsmonat;Wohnflaeche_qm;Z_Verkaufspreis
1776;3;Sonstige;1;1.0;1989;Niedrig;;Satteldach;95.0;Durchschnitt;Durchschnitt;2.0;2.0;1103.0;0;2;87.0;Gut;Bad Cannstatt;0;0.0;Freistehend;1989;2017.0;10;95.0;154772.0
254;3;1 Ebene;2;1.0;2015;Niedrig;;Satteldach;157.0;Gut;Durchschnitt;2.0;3.0;1009.0;1;3;156.0;Sehr gut;Wangen;0;0.0;Freistehend;2016;2015.0;8;157.0;298846.0
1708;3;1,5 Ebenen;1;0.0;1941;Mittel;;Satteldach;103.0;Durchschnitt;Durchschnitt;1.0;3.0;750.0;1;3;59.0;Durchschnitt;Stammheim;0;0.0;Freistehend;1961;2015.0;6;103.0;135697.0
1324;1;Sonstige;1;1.0;1983;Mittel;;Satteldach;58.0;Durchschnitt;Durchschnitt;0.0;3.0;155.0;0;5;58.0;Gut;Untertuerkheim;0;0.0;Reihenhaus;1983;2021.0;5;58.0;92994.0
1633;2;2 Ebenen;2;1.0;2016;Seelage;;Satteldach;55.0;Gut;Durchschnitt;2.0;2.0;332.0;0;2;55.0;Gut;Wangen;1;0.0;Reihenhaus;2016;2017.0;5;111.0;173723.0
2728;4;2 Ebenen;2;0.0;2016;Niedrig;;Flachdach;105.0;Gut;Durchschnitt;3.0;3.0;1132.0;1;1;104.0;Gut;NeuStuttgart_West;1;0.0;Freistehend;2018;2018.0;6;232.0;355870.0
1138;2;1 Ebene;1;0.0;1967;Niedrig;;Flachdach;145.0;Durchschnitt;Durchschnitt;1.0;3.0;1187.0;1;3;106.0;Durchschnitt;NeuStuttgart_Nord;0;0.0;Freistehend;1967;2020.0;5;145.0;122579.0
859;3;2 Ebenen;2;0.0;1989;Niedrig;;Flachdach;85.0;Durchschnitt;Durchschnitt;2.0;3.0;1136.0;1;5;85.0;Durchschnitt;Sillenbuch;1;0.0;Freistehend;1989;2019.0;7;156.0;196440.0
816;3;1 Ebene;2;0.0;2016;Niedrig;;Satteldach;123.0;Gut;Durchschnitt;2.0;3.0;1860.0;0;4;123.0;Gut;NeuStuttgart_Mitte;0;0.0;Freistehend;2016;2021.0;1;123.0;245726.0
1838;3;1 Ebene;2;0.0;1975;Niedrig;;Satteldach;132.0;Durchschnitt;Durchschnitt;2.0;3.0;1032.0;1;1;132.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1975;2017.0;7;132.0;190043.0
2326;4;1 Ebene;2;1.0;1992;Niedrig;;Flachdach;234.0;Gut;Durchschnitt;2.0;3.0;963.0;1;1;234.0;Gut;Wangen;1;0.0;Freistehend;1992;2020.0;7;234.0;329246.0
950;3;2 Ebenen;1;1.0;1937;Niedrig;;Satteldach;69.0;Durchschnitt;Durchschnitt;1.0;3.0;703.0;2;4;58.0;Durchschnitt;Zuffenhausen;0;0.0;Freistehend;2008;2013.0;5;137.0;144000.0
735;3;2 Ebenen;2;0.0;2017;Niedrig;Neuverkauf;Satteldach;104.0;Gut;Durchschnitt;3.0;3.0;1124.0;1;5;100.0;Gut;NeuStuttgart_Sued;1;0.0;Freistehend;2017;2014.0;10;183.0;263016.0
1505;1;1 Ebene;1;0.0;1947;Mittel;;Satteldach;74.0;Schlecht;Schlecht;0.0;1.0;618.0;1;2;24.0;Durchschnitt;Botnang;0;0.0;Freistehend;1961;2019.0;1;74.0;68327.0
515;5;2,5 Ebenen;2;0.0;1921;Mittel;;Satteldach;114.0;Durchschnitt;Durchschnitt;2.0;3.0;631.0;0;2;114.0;Durchschnitt;Birkach;0;0.0;Freistehend;2016;2014.0;7;195.0;145080.0
827;6;1 Ebene;2;0.0;1975;Niedrig;;Satteldach;160.0;Durchschnitt;Durchschnitt;1.0;2.0;1075.0;0;2;160.0;Durchschnitt;Vaihingen;0;1.0;Doppelhaus;1975;2015.0;11;160.0;115839.0
2065;2;1 Ebene;2;1.0;2011;Niedrig;;Satteldach;130.0;Gut;Durchschnitt;2.0;2.0;811.0;0;2;128.0;Gut;NeuStuttgart_West;0;0.0;Freistehend;2011;2014.0;10;130.0;189072.0
419;3;1,5 Ebenen;2;0.0;1951;Niedrig;;Satteldach;87.0;Durchschnitt;Durchschnitt;1.0;2.0;1002.0;1;2;72.0;Durchschnitt;Zuffenhausen;0;0.0;Freistehend;1961;2020.0;7;138.0;165215.0
402;3;2 Ebenen;2;0.0;2008;Niedrig;;Satteldach;85.0;Durchschnitt;Durchschnitt;2.0;3.0;896.0;1;2;85.0;Gut;NeuStuttgart_Mitte;1;0.0;Freistehend;2008;2016.0;8;148.0;171091.0
